Lake Superior College,2101 Trinity Rd,Duluth,MN,"""55811-3399"""
Lake Superior State University,650 W Easterday Ave,Sault Ste Marie,MI,"""49783"""
Lake Tahoe Community College,One College Drive,South Lake Tahoe,CA,"""96150"""
Lake Technical Center,2001 Kurt Street,Eustis,FL,"""32726"""
Lake Washington Institute of Technology,11605 132nd Avenue NE,Kirkland,WA,"""98034-8506"""
Lake-Sumter State College,9501 US Hwy 441,Leesburg,FL,"""34788-8751"""
Lakeland College,"W3718 South Drive, Cth M",Plymouth,WI,"""53073"""
Lakeland Community College,7700 Clocktower Dr,Kirtland,OH,"""44094-5198"""
Lakes Region Community College,379 Belmont Road,Laconia,NH,"""03246"""
Lakeshore Technical College,1290 North Ave,Cleveland,WI,"""53015"""
Lakeview College of Nursing,903 N Logan Ave,Danville,IL,"""61832"""
Lakewood College,"12900 Lake Avenue, Suite 003A",Lakewood,OH,"""44107"""
Lamar Community College,2401 S Main St,Lamar,CO,"""81052-3999"""
Lamar Institute of Technology,855 E Lavaca,Beaumont,TX,"""77705"""
Lamar State College - Orange,410 Front St,Orange,TX,"""77630"""
Lamar State College - Port Arthur,1500 Proctor St,Port Arthur,TX,"""77640"""
Lamar University,4400 MLK,Beaumont,TX,"""77705"""
Lamson Institute,"5819 N.W. Loop 410, Suite 160",San Antonio,TX,"""78238"""
Lancaster Bible College,901 Eden Road,Lancaster,PA,"""17608-3403"""
Lancaster County Career and Technology Center,1730 Hans Herr Drive,Willow Street,PA,"""17584"""
Lancaster General College of Nursing & Health Sciences,410 North Lime Street,Lancaster,PA,"""17602"""
Lancaster Theological Seminary,555 W James St,Lancaster,PA,"""17603-2897"""
Lander University,320 Stanley Avenue,Greenwood,SC,"""29649-2099"""
Landing School of Boat Building and Design,286 River Rd,Arundel,ME,"""04046-1490"""
Landmark College,River Rd South,Putney,VT,"""05346"""
Landmark Learning,PO Box 1888,Cullowhee,NC,"""28723"""
Lane College,545 Lane Ave,Jackson,TN,"""38301-4598"""
Lane Community College,4000 East 30th Avenue,Eugene,OR,"""97405-0640"""
Laney College,900 Fallon St,Oakland,CA,"""94607"""
Langston University,102 Page Hall,Langston,OK,"""73050"""
"Language Plus, Inc.","4110 Rio Bravo, Suite 202",El Paso,TX,"""79902"""
Language Studies International,"1706 Fifth Avenue, 3rd floor",San Diego,CA,
Language Systems International College of English,750 Placentia Avenue,Placentia,CA,"""92870"""
Lanier Technical College,2990 Landrum Education Dr,Oakwood,GA,"""30566"""
Lansdale School of Business,290 Wissahickon Avenue,North Wales,PA,"""19454"""
Lansing Community College,419 N Capitol Ave,Lansing,MI,"""48901-7210"""
Laramie County Community College,1400 E College Dr,Cheyenne,WY,"""82007-3299"""
Laredo Community College,West End Washington Street,Laredo,TX,"""78040-4395"""
Las Positas College,3033 Collier Cyn Rd,Livermore,CA,"""94551-7650"""
LASC: American Language and Culture,"17320 Red Hill Avenue, Suite 300",Irvine,CA,"""92614"""
Lasell College,1844 Commonwealth Ave,Newton,MA,"""02466-2716"""
Lassen Community College,Hwy 139,Susanville,CA,"""96130"""
"Laun & Associates, Inc. Dale Carnegie Training",4105 North 20th Street Suite 100,Phoenix,AZ,
Laurel Business Institute,11 East Penn St,Uniontown,PA,"""15401"""
LAUREL TECHNICAL COLLEGE,235 S LAUREL RD,LONDON,KY,"""40744"""
Laurel Technical Institute - Sharon,200 Sterling Avenue,Sharon,PA,"""16146"""
Laurel University,2314 N Centennial Street,High Point,NC,"""27265-3197"""
Laurus College,"75 Higuera Street, Suite 210",San Luis Obispo,CA,"""93401"""
Laurus Technical Institute,523 Church Street,Decatur,GA,"""30030"""
Laurus Technical Institute - Jonesboro,9500 South Main St.,Jonesboro,GA,"""30236"""
Lawrence Technological University,21000 W Ten Mile Rd,Southfield,MI,"""48075-1058"""
Lawrence University,PO Box 599,Appleton,WI,"""54912"""
"Lawrence-White Associates, Inc. Dale Carnegie Training","1320 Grandin Road, Suite B",Roanoke,VA,
Lawton Career Institute,20820 Greenfield Road,Oak Park,MI,"""48237"""
Lawton Career Institute - Warren,13877 E. Eight Mile Road,Warren,MI,"""48089"""
Lawyer's Assistant School of Dallas,"8150 North Central Expressway, Tower 11 Mezzanine",Dallas,TX,"""75206"""
LDS Business College,411 E South Temple,Salt Lake City,UT,"""84111-1392"""
Le Moyne College,1419 Salt Springs Rd,Syracuse,NY,"""13214-1399"""
"Leadership Excellence, Inc. Dale Carnegie Training","9100 Southwest Freeway, Suite 200",Houston,TX,
"Leadership Institute, Inc. Dale Carnegie Training","1150 Glenlivet Dr., Suite  C-35",Allentown,PA,"""18106"""
Leadership Training Dale Carnegie Training,"1616 S. Kentucky, Bldg. A, Suite 110",Amarillo,TX,
Leadership Training Institute Dale Carnegie Training,"3109 West 41st Street, Suite 101B",Sioux Falls,SD,
Learey Technical Center,5410 North 20th Street,Tampa,FL,"""33610"""
"Learnet Academy, Inc.",3251 West 6th Street,Los Angeles,CA,"""90020"""
LearnQuest - Bala Cynwyd,"225 City Avenue, Suite 106",Bala Cynwyd,PA,"""19004"""
Lebanon College,15 Hanover Street,Lebanon,NH,"""03766"""
Lebanon County Area Vocational Technical School,833 Metro Dr,Lebanon,PA,"""17042"""
Lebanon County Career School,18 East Weidman St.,Lebanon,PA,"""17046"""
Lebanon Valley College,101 N College Ave,Annville,PA,"""17003-1400"""
Lee College,511 S Whiting,Baytown,TX,"""77520"""
Lee County High Tech Center North,360 Santa Barbara Boulevard North,Cape Coral,FL,"""33993"""
Lee Strasberg Theatre and Film Institute,"115 East 15th Street, Lee Strasberg Way",New York,NY,"""10003"""
Lee University,1120 N Ocoee St,Cleveland,TN,"""37320-3731"""
Leech Lake Tribal College,6945 Littlewolf Road NW,Cass Lake,MN,"""56633"""
Lees-McRae College,191 Main Street,Banner Elk,NC,"""28604"""
Leeward Community College,96-045 Ala Ike,Pearl City,HI,"""96782-3393"""
Lehigh Carbon Community College,4525 Education Park Dr,Schnecksville,PA,"""18078-2598"""
Lehigh Career and Technical Institute,4500 Education Park Drive,Schnecksville,PA,"""18078"""
Lehigh University,27 Memorial Dr W,Bethlehem,PA,"""18015"""
Lehman College of the City University of New York,"250 Bedford Park Blvd West, T3-201",Bronx,NY,"""10468"""
LeMoyne-Owen College,807 Walker Ave,Memphis,TN,"""38126"""
Lenoir Community College,231 Highway 58 South,Kinston,NC,"""28502-0188"""
Lenoir-Rhyne University,625 7th Avenue NE,Hickory,NC,"""28603"""
Lesley University,29 Everett St,Cambridge,MA,"""02138-2790"""
LeTourneau University,2100 S Mobberly Ave,Longview,TX,"""75607-7001"""
Levin School of Health Care,"2206 West Atlantic Avenue, Suite 100",Delray Beach,FL,"""33445"""
Lewis & Clark College,0615 S W Palatine Hill Rd,Portland,OR,"""97219-7899"""
Lewis and Clark Community College,5800 Godfrey Rd,Godfrey,IL,"""62035"""
Lewis University,One University Parkway,Romeoville,IL,"""60446-2200"""
Lewis-Clark State College,500 8th Ave,Lewiston,ID,"""83501-2698"""
Lex La-Ray Technical Center,2323 High School Dr,Lexington,MO,"""64067-1525"""
Lexington College,310 South Peoria,Chicago,IL,"""60607-3534"""
Lexington Healing Arts Academy,272 Southland Drive,Lexington,KY,"""40503"""
Lexington Montessori School (AMS),130 Pleasant Street,Lexington,MA,"""02173"""
Lexington Theological Seminary,631 S Limestone,Lexington,KY,"""40508-3288"""
Lia Schorr Institute of Cosmetic Skin Care,"686 Lexington Ave, 4th Floor",New York,NY,"""10022-2614"""
Liberty Training Institute,2706 Wilshire Blvd,Los Angeles,CA,"""90057"""
Liberty University,1971 University Blvd,Lynchburg,VA,"""24502"""
Life Chiropractic College-West,25001 Industrial Blvd.,Hayward,CA,"""94545-2800"""
Life Pacific College,1100 W. Covina Blvd,San Dimas,CA,"""91773-3298"""
Life University,1269 Barclay Circle,Marietta,GA,"""30060"""
Lighthouse College,"9400 North Central Expressway, Suite 200",Dallas,TX,"""75231"""
LIM College,12 E 53rd St,New York,NY,"""10022-5268"""
Limestone College,1115 College Drive,Gaffney,SC,"""29340-3799"""
Limon Institute,"307 West 38th Street, Suite 1105",New York City,NY,"""10018"""
Lincoln Christian University,100 Campus View Drive,Lincoln,IL,"""62656-2111"""
Lincoln College,300 Keokuk St,Lincoln,IL,"""62656"""
Lincoln College of New England,2279 Mount Vernon Road,Southington,CT,"""06489-1057"""
Lincoln College of Technology - Denver,460 S Lipan St,Denver,CO,"""80223-9366"""
Lincoln College of Technology - Grand Prairie,2915 Alouette Drive,Grand Prairie,TX,"""75052"""
Lincoln College of Technology - Indianapolis,7225 Winton Drive - Building 128,Indianapolis,IN,"""46268"""
Lincoln College of Technology - Melrose Park,8317 W. North Ave.,Melrose Park,IL,"""60160-1605"""
Lincoln Land Community College,5250 Shepherd Rd,Springfield,IL,"""62794-9256"""
Lincoln Memorial University,6965 Cumberland Gap Pky,Harrogate,TN,"""37752-9900"""
Lincoln Technical Institute,9325 Snowden River Pky,Columbia,MD,"""21046"""
Lincoln Technical Institute - Cromwell,106 Sebethe Dr,Cromwell,CT,"""06416"""
Lincoln Technical Institute - East Windsor,97 Newberry Road,East Windsor,CT,"""06088"""
Lincoln Technical Institute - Edison,1697 Oak Tree Road,Edison,NJ,"""08820-2896"""
Lincoln Technical Institute - Fern Park,7275 Estapona Circle,Fern Park,FL,"""32730-2351"""
Lincoln Technical Institute - Hamden,109 Sanford St,Hamden,CT,"""06514"""
Lincoln Technical Institute - Hartford,85 Sigourney Street,Hartford,CT,"""06105"""
Lincoln Technical Institute - New Britain,200 John Downey Drive,New Britain,CT,"""06051"""
Lincoln Technical Institute - Shelton,8 Progress Drive,Shelton,CT,"""06484"""
Lincoln Technical Institute - South Plainfield,901Hadley Road,South Plainfield,NJ,"""07080-2424"""
Lincoln Technical Institute - Whitestone Queens,15-30 Petracca Place,Whitestone Queens,NY,"""11357"""
Lincoln University,820 Chestnut Street,Jefferson City,MO,"""65102-0029"""
Lincoln University of Pennsylvania,1570 Baltimore Pike,Lincoln University,PA,"""19352-0999"""
Lindenwood University,209 S. Kingshighway,St. Charles,MO,"""63301"""
Lindsey Hopkins Technical Education Center,750 NW 20 Street,Miami,FL,"""33127"""
Lindsey Wilson College,210 Lindsey Wilson St,Columbia,KY,"""42728-1223"""
Linfield College,900 SE Baker,McMinnville,OR,"""97128-6894"""
"Lingua School, Inc.",225 E. Las Olas Blvd,Ft. Lauderdale,FL,"""33326"""
Linn State Technical College,One Technology Drive,Linn,MO,"""65051"""
Linn-Benton Community College,6500 Pacific Blvd SW,Albany,OR,"""97321"""
Lipscomb University,3901 Granny White Pike,Nashville,TN,"""37204-3951"""
Little Big Horn College,1 Forestry Lane,Crow Agency,MT,"""59022"""
Little Priest Tribal College,"610 East College Drive, P.O. Box 270",Winnebago,NE,"""68071"""
Lively Technical Center,500 N Appleyard Dr,Tallahassee,FL,"""32304-2895"""
Living Arts College@School of Communication Arts,3000 Wakefield Crossing Drive,Raleigh,NC,"""27614"""
Livingstone College,701 W Monroe St,Salisbury,NC,"""28144"""
Lock Haven University of Pennsylvania,401 N Fairview St,Lock Haven,PA,"""17745-2390"""
Logan University,1851 Schoettler Rd.,Chesterfield,MO,"""63017"""
Logos Evangelical Seminary,9358 Telstar Ave.,El Monte,CA,"""91731"""
Loma Linda University,,Loma Linda,CA,"""92350"""
Lone Star College System,5000 Research Forest Drive,The Woodlands,TX,"""77381-4399"""
Long Beach City College,4901 E. Carson St.,Long Beach,CA,"""90808-1706"""
Long Island Business Institute - Flushing,136-18 39th Avenue,Flushing,NY,"""11354"""
Long Island Nail and Skin Care Institute,3709 Hempstead Turnpike,Levittown,NY,"""11756"""
Long Island University - C W Post Campus,720 Northern Blvd,Brookville,NY,"""11548-1300"""
Longs Peak Academy,"700 Kenn Pratt Boulevard, Suite 510",Longmont,CO,"""80501"""
Longwood University,201 High St,Farmville,VA,"""23909"""
Lorain County Community College,1005 North Abbe Rd,Elyria,OH,"""44035-1691"""
"Loraine's Academy, Inc",1012 58th St N,Saint Petersburg,FL,"""33710"""
Loras College,1450 Alta Vista,Dubuque,IA,"""52004-0178"""
Lord Fairfax Community College,173 Skirmisher Lane,Middletown,VA,"""22645"""
Lorenzo Walker Institute of Technology,3702 Estey Avenue,Naples,FL,"""34104"""
Los Angeles City College,855 N Vermont Ave,Los Angeles,CA,"""90029"""
Los Angeles County College of Nursing and Allied Health,1237 N. Mission Rd.,Los Angeles,CA,"""90033-1084"""
Los Angeles Film School - Hollywood,"6363 Sunset Boulevard, Suite 400",Hollywood,CA,"""90028"""
Los Angeles Harbor College,1111 Figueroa Place,Wilmington,CA,"""90744-2397"""
Los Angeles Mission College,13356 Eldridge Avenue,Sylmar,CA,"""91342-3245"""
Los Angeles Music Academy,370 South Fair Oaks Avenue,Pasadena,CA,"""91105"""
Los Angeles ORT College,6435 Wilshire Blvd,Los Angeles,CA,"""90048"""
Los Angeles Pacific College,"3350 Wilshire Boulevard, Suite 460",Los Angeles,CA,"""90010"""
Los Angeles Pierce College,6201 Winnetka Ave,Woodland Hills,CA,"""91371-0002"""
Los Angeles Recording School,6690 Sunset Boulevard,Hollywood,CA,"""90028"""
Los Angeles Southwest College,1600 W Imperial Hwy.,Los Angeles,CA,"""90047-4899"""
Los Angeles Trade Technical College,400 W Washington Blvd,Los Angeles,CA,"""90015-4181"""
Los Angeles Valley College,5800 Fulton Avenue,Valley Glen,CA,"""91401-4096"""
Los Medanos College,2700 East Leland Road,Pittsburg,CA,"""94565"""
Louis V. Gerstner Jr. Graduate School of Biomedical Sciences at Memorial Sloan-Kettering Cancer Center,"1276 York Ave, PO Box 441",New York,NY,"""10021"""
Louisburg College,501 N. Main St.,Louisburg,NC,"""27549-2399"""
Louisiana College,1140 College Dr,Pineville,LA,"""71359"""
Louisiana Delta Community College,4014 LaSalle Street,Monroe,LA,"""71203"""
Louisiana State University - Eunice,2048 Johnson Hwy,Eunice,LA,"""70535"""
Louisiana State University - Shreveport,One University Place,Shreveport,LA,"""71115-2399"""
Louisiana State University and Agricultural & Mechanical College,,Baton Rouge,LA,"""70803-2750"""
Louisiana State University at Alexandria,8100 Hwy 71 South,Alexandria,LA,"""71302-9121"""
Louisiana State University Health Sciences Center at New Orleans,433 Bolivar St,New Orleans,LA,"""70112-2223"""
Louisiana Tech University,305 Wisteria,Ruston,LA,"""71272"""
Louisiana Technical College - Baton Rouge,3250 North Acadian Thruway East,Baton Rouge,LA,"""70805"""
Louisiana Technical College - Delta-Ouachita Campus,609 Vocational Parkway,West Monroe,LA,"""71292"""
Louisiana Technical College - Jefferson Campus,5200 Blair Drive,Metairie,LA,"""70001"""
Louisiana Technical College - Jumonville Memorial Campus,General Deliversy,Angola,LA,
Louisiana Technical College - Lafayette,1101 Bertrand Drive,Lafayette,LA,"""70506"""
Louisiana Technical College - West Jefferson Campus,475 Manhattan Blvd,Harvey,LA,"""70058"""
Louisiana Technical College - Young Memorial,900 Youngs Road,Morgan City,LA,"""70381"""
Louisiana Technical College-Sidney N Collier Campus,3727 Louisa St,New Orleans,LA,"""70126"""
Louisiana Technical College-Slidell Campus,1000 Canulette Rd,Slidell,LA,"""70458"""
Louisville Bible College,8013 Damascus Road,Louisville,KY,"""40228"""
Louisville Presbyterian Theological Seminary,1044 Alta Vista Rd,Louisville,KY,"""40205-1798"""
Lourdes University,6832 Convent Blvd,Sylvania,OH,"""43560-2898"""
Lousiana Technical College,Highway 883-1,Lake Providence,LA,"""71254"""
Lower Columbia College,1600 Maple,Longview,WA,"""98632-0310"""
Loyola Marymount University,One LMU Drive,Los Angeles,CA,"""90045-2659"""
Loyola University Maryland,4501 N Charles St,Baltimore,MD,"""21210-2699"""
Loyola University New Orleans,6363 Saint Charles Ave,New Orleans,LA,"""70118-6143"""
Loyola University of Chicago,820 N. Michigan Ave.,Chicago,IL,"""60611"""
LSU Paul M. Hebert Law Center,"LSU Law Center, Suite 400, 1 East Campus Drive",Baton Rouge,LA,"""70803"""
Lu Ross Academy,470 East Thompson Boulevard,Ventura,CA,"""93001"""
Lubbock Christian University,5601 19th Street,Lubbock,TX,"""79407-2099"""
Lucas Marc Academy,71 Gage Boulevard,Richland,WA,"""99352"""
Luna Community College,366 Luna Drive,Las Vegas,NM,"""87701"""
Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,"""36420-1418"""
Luther College,700 College Drive,Decorah,IA,"""52101-1045"""
Luther Rice University,3038 Evans Mill Rd,Lithonia,GA,"""30038-2418"""
Luther Seminary,2481 Como Ave.,St. Paul,MN,"""55108"""
Lutheran Brethren Seminary,815 W. Vernon Ave,Fergus Falls,MN,"""56537"""
Lutheran School of Theology at Chicago,1100 E 55th St,Chicago,IL,"""60615-5199"""
Lutheran Theological Seminary at Gettysburg,61 Seminary Ridge,Gettysburg,PA,"""17325-1795"""
Lutheran Theological Seminary at Philadelphia,7301 Germantown Ave,Philadelphia,PA,"""19119-1794"""
Lutheran Theological Southern Seminary,4201 N Main St,Columbia,SC,"""29203-5898"""
Luzerne County Community College,1333 South Prospect Street,Nanticoke,PA,"""18634-3899"""
Lycoming College,700 College Place,Williamsport,PA,"""17701-5192"""
Lyme Academy College of Fine Arts,84 Lyme St,Old Lyme,CT,"""06371"""
Lynchburg College,1501 Lakeside Dr,Lynchburg,VA,"""24501-3199"""
Lyndon State College,1001 College Rd,Lyndonville,VT,"""05851-0919"""
Lynn University,3601 N. Military Trail,Boca Raton,FL,"""33431-5598"""
Lyon College,2300 Highland Road,Batesville,AR,"""72503"""
M.J. Francoeur & Associates Dale Carnegie Training,8 Ellsworth Road,West Hartford,CT,
Macalester College,1600 Grand Avenue,St. Paul,MN,"""55105-1899"""
MacCormac College,29 E. Madison,Chicago,IL,"""60602-4405"""
Machzikei Hadath Rabbinical College,5407 16th Avenue,Brooklyn,NY,"""11204"""
MacMurray College,447 E. College Ave,Jacksonville,IL,"""62650-2590"""
Macomb Community College,14500 E Twelve Mile Rd,Warren,MI,"""48088-3896"""
Macon State College,100 College Station Dr,Macon,GA,"""31206-5145"""
Madison Area Technical College,3550 Anderson St,Madison,WI,"""53704"""
Madison Media Institute,2702 Agriculture Drive,Madison,WI,"""53718"""
Madisonville Community College,2000 College Drive,Madisonville,KY,"""42431-9199"""
Madonna University,36600 Schoolcraft Rd,Livonia,MI,"""48150-1173"""
Magdalen College,511 Kearsarge Mtn Rd,Warner,NH,"""03278-9206"""
Magnolia Bible College,822 S Huntington St,Kosciusko,MS,"""39090"""
Maharishi University of Management,1000 N 4th St,Fairfield,IA,"""52557"""
Main Street Montessori Association Teacher Education Program,708 West 10th Avenue,Eugene,OR,"""97401"""
Maine College of Art,97 Spring St,Portland,ME,"""04101-3913"""
Maine Maritime Academy,C3,Castine,ME,"""04420-0001"""
Maine Montessori Institute (AMS),161 Field Road,Falmouth,ME,"""04105"""
Maitland Montessori School (NCME),236 North Swoope Ave.,Maitland,FL,"""32751"""
Make-up Designory,129 S. Fernando Blvd.,Burbank,CA,"""91502"""
Make-Up Designory - New York,"375 West Broadway, Suite 202",New York,NY,"""10012"""
Malone University,2600 Cleveland Ave. NW,Canton,OH,"""44709"""
Management Resources Institute,550 NW LeJeune Road,Miami,FL,"""33126"""
Manatee Technical Institute,6305 State Road 70 East,Bradenton,FL,"""34203"""
Manchester Community College,"Great Path, P.O. Box 1046",Manchester,CT,"""06045-1046"""
Manchester University,604 E. College Ave.,North Manchester,IN,"""46962"""
Mandalyn Academy,"648 East State Road, Unit B",American Fork,UT,"""84003"""
Mandl School,254 West 54th Street,New York,NY,"""10019"""
Manhattan Area Technical College,3136 Dickens Ave,Manhattan,KS,"""66503-2499"""
Manhattan Christian College,1415 Anderson Ave,Manhattan,KS,"""66502-4801"""
Manhattan College,Manhattan College Pky,Riverdale,NY,"""10471-4098"""
Manhattan Institute,255 Fifth Avenue,Manhattan,NY,"""10016"""
Manhattan Institute of Management,"25 Broadway, 7th Floor",New York,NY,"""10004"""
"Manhattan Language Training, Inc.","145 W. 30th Street, 9th Floor",New York,NY,"""10001"""
Manhattan School of Computer Technology,"931 Coney Island Avenue, 2nd Floor",Brooklyn,NY,"""11230"""
Manhattan School of Music,120 Claremont Ave,New York,NY,"""10027-4698"""
Manhattanville College,2900 Purchase Street,Purchase,NY,"""10577"""
Manor College,700 Fox Chase Rd,Jenkintown,PA,"""19046-3399"""
Mansfield University of Pennsylvania,Academy Street,Mansfield,PA,"""16933"""
Maple Springs Baptist Bible College and Seminary,4130 Belt Road,Capital Heights,MD,"""20743"""
Maranatha Baptist Bible College,745 W. Main St.,Watertown,WI,"""53094"""
Marchman Technical Education Center,7825 Campus Drive,New Port Richey,FL,"""34653"""
Maria College,700 New Scotland Avenue,Albany,NY,"""12208"""
Maria Montessori Teacher Training Center,1170 Foxworthy Avenue,San Jose,CA,"""95118"""
Marian Court College,35 Littles Point Rd,Swampscott,MA,"""01907"""
Marian Health Careers Center - Los Angeles,"3325 Wilshire Boulevard, Suite 1010",Los Angeles,CA,"""90010"""
Marian University,3200 Cold Spring Rd,Indianapolis,IN,"""46222-1997"""
Maric College - Bakersfield,1914 Wible Road,Bakersfield,CA,"""93304"""
Maric College - San Diego,6160 Mission Gorge Rd-Ste 108,San Diego,CA,"""92120"""
Maricopa Community College System Office,2411 W 14th St,Tempe,AZ,"""85281-6942"""
Maricopa Community Colleges - Chandler-Gilbert Community College,2626 E. Pecos Road,Chandler,AZ,"""85225-2499"""
Maricopa Community Colleges - Estrella Mountain Community College,3000 North Dysart Road,Avondale,AZ,"""85323-1000"""
Maricopa Community Colleges - Gateway Community College,108 N. 40th Street,Phoenix,AZ,"""85034"""
Maricopa Community Colleges - Glendale Community College,6000 W Olive Ave,Glendale,AZ,"""85302"""
Maricopa Community Colleges - Mesa Community College,1833 W Southern Ave,Mesa,AZ,"""85202"""
Maricopa Community Colleges - Paradise Valley Community College,18401 N 32nd Street,Phoenix,AZ,"""85032"""
Maricopa Community Colleges - Phoenix College,1202 W.  Thomas Road,Phoenix,AZ,"""85013"""
Maricopa Community Colleges - Rio Salado Community College,2323 W. 14th Street,Tempe,AZ,"""85281-6950"""
Maricopa Community Colleges - Scottsdale Community College,9000 E. Chaparral Rd.,Scottsdale,AZ,"""85256-2626"""
Maricopa Community Colleges - South Mountain Community College,7050 South 24th Street,Phoenix,AZ,"""85042"""
Marietta College,215 Fifth Street,Marietta,OH,"""45750"""
Marine Corps Institute,"912 Charles Poor Street, SE",Washington Navy Yard,DC,"""20391-5680"""
Marine Corps University,2076 South Street,Quantico,VA,"""22134"""
Marion Military Institute,1101 Washington St,Marion,AL,"""36756"""
Marion Technical College,1467 Mt. Vernon Ave.,Marion,OH,"""43302-5694"""
Marist College,3399 North Road,Poughkeepsie,NY,"""12601"""
Maritime Institute,"1310 Rosecrans Street, Suite G",San Diego,CA,"""92106"""
Marlboro College,2582 South Rd,Marlboro,VT,"""05344-0300"""
Marquette University,"P.O. Box 1881, 615 N. Eleventh St.",Milwaukee,WI,"""53201-1881"""
Mars Hill University,100 Athletic St,Mars Hill,NC,"""28754"""
Marshall University,1 John Marshall Dr,Huntington,WV,"""25755"""
"Martha Graham School of Contemporary Dance, Inc",316 East 63rd Street,New York,NY,"""10065"""
Martin Community College,1161 Kehukee Pk Rd,Williamston,NC,"""27892-9988"""
Martin Luther College,1995 Luther Court,New Ulm,MN,"""56073"""
Martin Methodist College,433 West Madison Street,Pulaski,TN,"""38478-2799"""
Martin University,2171 Avondale Place,Indianapolis,IN,"""46218-0567"""
Martinsburg College,341 Aikens Center,Martinsburg,WV,"""25404"""
Mary Baldwin College,101 East Frederick Street,Staunton,VA,"""24401"""
Marygrove College,8425 W McNichols Rd,Detroit,MI,"""48221-2599"""
Maryland Center for Montessori Studies (AMS),10807 Tony Dr.,Lutherville,MD,"""21093"""
Maryland Institute College of Art,1300 Mount Royal Ave,Baltimore,MD,"""21217-4134"""
Maryland University of Integrative Health,7750 Montpelier Road,Laurel,MD,"""20723"""
Marylhurst University,17600 Pacific Hwy - Hwy 43,Marylhurst,OR,"""97036-0261"""
Marymount College University,30800 Palos Verdes Dr. East,Rancho Palos Verdes,CA,"""90275-6299"""
Marymount Manhattan College,221 E 71st St,New York,NY,"""10021-4597"""
Marymount University,2807 N Glebe Rd,Arlington,VA,"""22207-4299"""
Maryville College,502 E Lamar Alexander Pky,Maryville,TN,"""37804-5907"""
Maryville University of Saint Louis,650 Maryville University Drive,Saint Louis,MO,"""63141-7299"""
Marywood University,2300 Adams Ave,Scranton,PA,"""18509-1598"""
Massachusetts Bay Community College,50 Oakland St,Wellesley Hills,MA,"""02481-5399"""
Massachusetts College of Art and Design,621 Huntington Ave,Boston,MA,"""02115-5882"""
Massachusetts College of Liberal Arts,375 Church St,North Adams,MA,"""01247-4100"""
Massachusetts College of Pharmacy & Health Sciences,179 Longwood Ave,Boston,MA,"""02115-5896"""
Massachusetts Institute of Technology,77 Massachusetts Avenue,Cambridge,MA,"""02139-4307"""
Massachusetts Maritime Academy,101 Academy Dr,Buzzards Bay,MA,"""02532-1803"""
Massachusetts School of Law,500 Federal St Woodland Park,Andover,MA,"""01810"""
Massachusetts School of Professional Psychology,1 Wells Avenue,Newton,MA,"""02459"""
Massasoit Community College,One Massasoit Boulevard,Brockton,MA,"""02302-3996"""
Mater Ecclesiae College,60 Austin Avenue,Greenville,RI,"""02828"""
Maternidad La Luz,1308 Magoffin St.,El Paso,TX,"""79901"""
Mattia College,13926 SW 47th Street,Miami,FL,"""33175"""
Maui Academy of cosmetology LLC,"55 Kaahumanu avenue, Unit K",Kahului,HI,
Mauna Loa Helicopters,73-310 UU Street,Kailua Kona,HI,"""96740"""
Mayfield College,"35-325 Date Palm Drive, Suite 101",Cathedral City,CA,"""92234"""
Mayland Community College,200 Mayland Drive,Spruce Pine,NC,"""28777"""
Maysville Community and Technical College,1755 U.S. 68,Maysville,KY,"""41056"""
Mayville State University,330 Third St NE,Mayville,ND,"""58257-1299"""
McCann School of Business and Technology,2650 Woodglen Road,Pottsville,PA,"""17901"""
McCormick Theological Seminary,5460 S. University,Chicago,IL,"""60615"""
McDaniel College,2 College Hill,Westminster,MD,"""21157"""
McDowell Technical Community College,54 College Drive,Marion,NC,"""28752-8728"""
McFatter Technical Center,6500 Nova Drive,Davie,FL,"""33317"""
McHenry County College,8900 US Hwy 14,Crystal Lake,IL,"""60012-2761"""
MCI Institute of Technology,"3650 Shawnee Avenue, Suite 12",West Palm Beach,FL,"""33407"""
McKendree University,701 College Rd,Lebanon,IL,"""62254"""
McKinley College,2001 Lowe Street,Fort Collins,CO,"""80525"""
McLennan Community College,1400 College Dr,Waco,TX,"""76708"""
McMurry University,S 14th and Sayles Blvd,Abilene,TX,"""79697"""
McNally Smith College of Music,19 Exchange Street East,Saint Paul,MN,"""55101"""
McNeese State University,4205 Ryan Street,Lake Charles,LA,"""70609"""
McPherson College,1600 E Euclid,McPherson,KS,"""67460-1402"""
Meadville-Lombard Theological School,610 S. Michigan Avenue,Chicago,IL,"""60605"""
Med Tech College - Indianapolis,"Heritage Park 1, 6602 East 75th Street",Indianapolis,IN,"""46250"""
Med-Assist School of Hawaii,"33 South King Street, Suite 223",Honolulu,HI,"""96813"""
Med-Life Institute,4103 East Tamiami Trail,Naples,FL,"""34112"""
Medacom College,4047 Clipper Court,Fremont,CA,"""94538"""
Medaille College,18 Agassiz Circle,Buffalo,NY,"""14214-2695"""
MedCentral College of Nursing,335 Glessner Ave,Mansfield,OH,"""44903-2265"""
Medgar Evers College of the City University of New York,1650 Bedford Ave,Brooklyn,NY,"""11225-2010"""
Mediatech Institute,"400 East Royal Lane Building, Suite 100",Irving,TX,"""70916"""
Medical Arts School,"7041 Old Wake Forest Road, Suite 103",Raleigh,NC,"""27616"""
